ID_OFICIAL;NOMBRE_BASE_OFICIAL;Escuela;URL Bibliografia;FOTO_URL
13;Técnico Operaciones Logísticas;Admin. y Gestión Empresarial;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=121&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/6.%20ADMINISTRACIO%CC%81N%20Y%20GESTIO%CC%81N%20EMPRESARIAL/tecnico-en-operaciones-logisticas.jpg?updatedAt=1738199307834
14;Técnico Administración Producción Agropecuaria y Agroindustrial;Admin. y Gestión Empresarial;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=71&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/6.%20ADMINISTRACIO%CC%81N%20Y%20GESTIO%CC%81N%20EMPRESARIAL/tecnico-en-administracon-de-la-produccion-agropecuaria-y-agroindustrial.jpg?updatedAt=1738199307896
15;Ingeniería Gestión de Recursos Humanos;Admin. y Gestión Empresarial;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=130&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/6.%20ADMINISTRACIO%CC%81N%20Y%20GESTIO%CC%81N%20EMPRESARIAL/ingenieria-en-gestion-de-recursos-humanos.jpg?updatedAt=1738199309805
16;Ingeniería Gestión Financiera;Admin. y Gestión Empresarial;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=152&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/6.%20ADMINISTRACIO%CC%81N%20Y%20GESTIO%CC%81N%20EMPRESARIAL/ingenieria-en-gestion-financiera.jpg?updatedAt=1738199310333
17;Técnico Gestión Financiera;Admin. y Gestión Empresarial;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=149&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/6.%20ADMINISTRACIO%CC%81N%20Y%20GESTIO%CC%81N%20EMPRESARIAL/tecnico-en-gestion-financiera.jpg?updatedAt=1738199307858
18;Técnico Gestión de Recursos Humanos;Admin. y Gestión Empresarial;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=151&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/6.%20ADMINISTRACIO%CC%81N%20Y%20GESTIO%CC%81N%20EMPRESARIAL/tecnico-en-gestion-de-recursos-humanos.jpg?updatedAt=1738199307693
19;Ingeniería Administración Empresas Mención Recursos Humanos;Admin. y Gestión Empresarial;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=164&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/6.%20ADMINISTRACIO%CC%81N%20Y%20GESTIO%CC%81N%20EMPRESARIAL/ingenieria-en-administracion-de-empresas-mencion-recursos-humanos.jpg?updatedAt=1738199309278
20;Ingeniería Administración Empresas Mención Finanza;Admin. y Gestión Empresarial;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=129&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/6.%20ADMINISTRACIO%CC%81N%20Y%20GESTIO%CC%81N%20EMPRESARIAL/ingenieria-en-administracion-de-empresas-mencion-finanzas.jpg?updatedAt=1738199307818
21;Ingeniería Administración Empresas Mención Marketing;Admin. y Gestión Empresarial;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=163&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/6.%20ADMINISTRACIO%CC%81N%20Y%20GESTIO%CC%81N%20EMPRESARIAL/ingenieria-en-administracion-de-empresas-mencion-marketing.jpg?updatedAt=1738199307768
22;Técnico en Comercio Electrónico;Admin. y Gestión Empresarial;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=132&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/6.%20ADMINISTRACIO%CC%81N%20Y%20GESTIO%CC%81N%20EMPRESARIAL/ingenieria-en-administracion-de-empresas.jpg?updatedAt=1738199310437
