Escuela;Nombre Carrera;URL Carrera;FOTO_URL
Administración y Gestión Empresarial;INGENIERÍA EN NEGOCIOS ELECTRÓNICOS;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=140&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/1.%20ARTES%20E%20INDUSTRIAS%20CREATIVAS/tecnico-en-sonido.jpg?updatedAt=1738193913308
Administración y Gestión Empresarial;TÉCNICO EN ADMINISTRACIÓN DE EMPRESAS;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=120&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/6.%20ADMINISTRACIO%CC%81N%20Y%20GESTIO%CC%81N%20EMPRESARIAL/tecnico-en-administracion-de-empresas.jpg?updatedAt=1738199307747
Administración y Gestión Empresarial;TÉCNICO EN ADMINISTRACIÓN DE EMPRESAS MENCIÓN FINANZAS;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=69&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/6.%20ADMINISTRACIO%CC%81N%20Y%20GESTIO%CC%81N%20EMPRESARIAL/tecnico-en-administracion-de-empresas-mencion-finanzas.jpg?updatedAt=1738199310205
Administración y Gestión Empresarial;TÉCNICO EN ADMINISTRACIÓN DE EMPRESAS MENCIÓN MARKETING;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=67&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/6.%20ADMINISTRACIO%CC%81N%20Y%20GESTIO%CC%81N%20EMPRESARIAL/tecnico-en-administracion-de-empresas-mecion-marketing.jpg?updatedAt=1738199307795
Administración y Gestión Empresarial;TÉCNICO EN ADMINISTRACIÓN DE EMPRESAS MENCIÓN RECURSOS HUMANOS;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=66&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/6.%20ADMINISTRACIO%CC%81N%20Y%20GESTIO%CC%81N%20EMPRESARIAL/tecnico-en-administracion-de-empresas-mencion-recursos-humanos.jpg?updatedAt=1738199307685
Administración y Gestión Empresarial;TÉCNICO EN ADMINISTRACIÓN DE LA PRODUCCIÓN AGROPECUARIA Y AGROINDUSTRIAL;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=71&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/6.%20ADMINISTRACIO%CC%81N%20Y%20GESTIO%CC%81N%20EMPRESARIAL/tecnico-en-administracon-de-la-produccion-agropecuaria-y-agroindustrial.jpg?updatedAt=1738199307896
Administración y Gestión Empresarial;TÉCNICO EN COMERCIO ELECTRÓNICO;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=132&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/2.%20INGENIERI%CC%81A,%20ENERGI%CC%81A%20Y%20TECNOLOGI%CC%81A/tecnico-en-dibujo-de-arquitectura-y-obras-civiles.jpg?updatedAt=1738194525393
Administración y Gestión Empresarial;TÉCNICO EN GESTIÓN DE RECURSOS HUMANOS;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=151&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/6.%20ADMINISTRACIO%CC%81N%20Y%20GESTIO%CC%81N%20EMPRESARIAL/tecnico-en-gestion-de-recursos-humanos.jpg?updatedAt=1738199307693
Administración y Gestión Empresarial;TÉCNICO EN GESTIÓN FINANCIERA;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=149&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/6.%20ADMINISTRACIO%CC%81N%20Y%20GESTIO%CC%81N%20EMPRESARIAL/tecnico-en-gestion-financiera.jpg?updatedAt=1738199307858
Administración y Gestión Empresarial;TÉCNICO EN OPERACIONES LOGÍSTICAS;https://bibliotecas.aiep.cl/client/es_CL/default/search/results?qu=121&rt=false%7C%7C%7CAIEP_CARRERA%7C%7C%7CCarrera&st=TL;https://ik.imagekit.io/5wps2tups/FOTOS%20CARRERAS%20ADMISIO%CC%81N%202025-1/6.%20ADMINISTRACIO%CC%81N%20Y%20GESTIO%CC%81N%20EMPRESARIAL/tecnico-en-operaciones-logisticas.jpg?updatedAt=1738199307834
